slug,title,cluster,summary,status,target_analytical,target_technical,target_creative,target_social,target_helping,target_leadership,target_structured,target_exploratory,target_detail,target_verbal,target_quantitative,target_practical,weight_analytical,weight_technical,weight_creative,weight_social,weight_helping,weight_leadership,weight_structured,weight_exploratory,weight_detail,weight_verbal,weight_quantitative,weight_practical,critical_dimensions,important_subjects,hobby_signals,preferred_environments,why_fit_template,first_steps_template,notes
photographer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-creator,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art-director,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital-designer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketer,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital-marketer,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smm-specialist,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-manager,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copywriter,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editor,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr-specialist,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand-manager,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seo-specialist,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community-manager,,"Маркетинг, коммуникации, контент",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-manager,,"Бизнес, управление, продажи",,draft,70,45,58,72,42,75,58,75,55,68,45,42,1.0,0.5,0.8,1.0,0.3,1.2,0.6,1.1,0.5,1.0,0.4,0.3,leadership|social|exploratory,обществознание|информатика|математика,организация|проекты|продукты/сервисы,команда|неопределённость|создание нового,"Подходит, потому что у пользователя сильны лидерство, коммуникация и интерес к исследованию новых решений.",Вести маленький проект|Разбирать продукты и их логику|Пробовать исследовать потребности пользователей,Example row
project-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operations-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrepreneur,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sales-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2b-sales-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-success-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business-development-manager,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team-lead,,"Бизнес, управление, продажи",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial-analyst,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountant,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auditor,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial-control-specialist,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investment-analyst,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawyer,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal-counsel,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compliance-specialist,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal-documentation-specialist,,"Финансы, аналитика, право",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language-teacher,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tutor,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodologist,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
educational-coordinator,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychologist,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
school-psychologist,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
career-counselor,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
social-worker,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr-specialist,,"Образование, психология, помощь людям",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
general-practitioner,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pediatrician,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nurse,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacist,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab-technician,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutrition-specialist,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physiotherapist,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veterinarian,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomedical-specialist,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medical-administrator,,"Медицина, здоровье, бионауки",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanical-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrical-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
civil-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
architect,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production-technologist,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quality-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operations-engineer,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automation-specialist,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robotics-specialist,,"Инженерия, производство, строительство",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
researcher,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scientific-researcher,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sociologist,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
political-scientist,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historian,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-analyst,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biologist,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemist,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecologist,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research-analyst,,"Наука, исследования, экология",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistician,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supply-chain-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procurement-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event-manager,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
civil-servant,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international-relations-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document-management-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occupational-safety-specialist,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operations-administrator,,"Логистика, операции, сервис, гос/соцсфера",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
