question_id,assessment_version_slug,block,subblock,question_type,text,options_json,primary_dimension,secondary_dimensions,weights_by_dimension_json,consistency_pair_id,difficulty,is_required,order_hint,status,question_purpose,notes,experiment_mode,experiment_tag,active_in_scoring,boundary_metadata_json
exp_hobby_04,express_v1,hobbies_and_activities,friend_help,situational,Друг никак не может разобраться в теме перед контрольной. Ты скорее:,"[{""key"": ""a"", ""label"": ""Объясню по шагам и проверю, понял ли"", ""weights_by_dimension"": {""helping"": 1.0, ""social"": 0.8, ""verbal"": 0.6}}, {""key"": ""b"", ""label"": ""Скину свои записи — пусть сам разберётся"", ""weights_by_dimension"": {""practical"": 0.5}}, {""key"": ""c"", ""label"": ""Покажу, где искать ответ самому"", ""weights_by_dimension"": {""helping"": 0.7, ""analytical"": 0.4}}]",helping,social|verbal,"{""helping"":1.0,""social"":0.7,""verbal"":0.5}",,medium,true,110,active,helping_signal,express_v2,baseline,,true,
exp_hobby_06,express_v1,hobbies_and_activities,flow_format,single_select,"Когда ты в «потоке», чем ты обычно занимаешься?","[{""key"": ""a"", ""label"": ""Пишу, объясняю или спорю"", ""weights_by_dimension"": {""verbal"": 1.0, ""social"": 0.5, ""helping"": 0.4}}, {""key"": ""b"", ""label"": ""Считаю или решаю задачи"", ""weights_by_dimension"": {""quantitative"": 1.0, ""analytical"": 0.5}}, {""key"": ""c"", ""label"": ""Делаю что-то руками"", ""weights_by_dimension"": {""practical"": 1.0, ""technical"": 0.4}}, {""key"": ""d"", ""label"": ""Придумываю что-то новое"", ""weights_by_dimension"": {""creative"": 1.0, ""exploratory"": 0.5}}]",verbal,social|helping,"{""verbal"":1.0,""social"":0.5,""helping"":0.3}",,medium,true,120,active,hobby_signal,express_v2,baseline,,true,
exp_hobby_07,express_v1,hobbies_and_activities,creative_ideas,likert,"Мне нравится придумывать визуальные, музыкальные или текстовые идеи и сразу пробовать их.","[{""value"": 0, ""label"": ""Совсем не про меня""}, {""value"": 25, ""label"": ""Скорее нет""}, {""value"": 50, ""label"": ""Не уверен""}, {""value"": 75, ""label"": ""Скорее да""}, {""value"": 100, ""label"": ""Точно про меня""}]",creative,exploratory|verbal,"{""creative"":1.0,""exploratory"":0.6,""verbal"":0.3}",,easy,true,130,active,creative_signal,express_v2,baseline,,true,
exp_work_01,express_v1,work_style_and_environment,plan_first,likert,Перед началом задачи я обычно составляю план и критерии готовности.,"[{""value"": 0, ""label"": ""Совсем не про меня""}, {""value"": 25, ""label"": ""Скорее нет""}, {""value"": 50, ""label"": ""Не уверен""}, {""value"": 75, ""label"": ""Скорее да""}, {""value"": 100, ""label"": ""Точно про меня""}]",structured,analytical|detail,"{""structured"":1.0,""analytical"":0.5,""detail"":0.5}",,easy,true,140,active,work_style_signal,express_v2,baseline,,true,
exp_work_03,express_v1,work_style_and_environment,team_argument,situational,В команде спор: два человека предлагают разные решения. Что ты делаешь?,"[{""key"": ""a"", ""label"": ""Собираю аргументы и предлагаю критерии выбора"", ""weights_by_dimension"": {""leadership"": 1.0, ""verbal"": 0.7}}, {""key"": ""b"", ""label"": ""Проверяю оба варианта на практике"", ""weights_by_dimension"": {""analytical"": 0.8, ""practical"": 0.5}}, {""key"": ""c"", ""label"": ""Ищу компромисс — стараюсь учесть мнение каждого"", ""weights_by_dimension"": {""social"": 0.9, ""helping"": 0.5}}]",leadership,verbal|social|helping,"{""leadership"":1.0,""verbal"":0.6,""social"":0.5,""helping"":0.3}",,medium,true,150,active,behavior_signal,express_v2,baseline,,true,
exp_work_05,express_v1,work_style_and_environment,stable_vs_new,forced_choice,Что тебе обычно комфортнее?,"[{""key"": ""a"", ""label"": ""Понятные правила и стабильный процесс"", ""weights_by_dimension"": {""structured"": 0.9, ""detail"": 0.5}}, {""key"": ""b"", ""label"": ""Новые вызовы и нестандартные задачи"", ""weights_by_dimension"": {""creative"": 1.0, ""exploratory"": 0.7}}]",creative,exploratory|structured,"{""creative"":1.0,""exploratory"":0.7,""structured"":0.6}",,easy,true,160,active,tradeoff_signal,express_v2,baseline,,true,
exp_work_06,express_v1,work_style_and_environment,people_comfort,likert,"Мне важно, чтобы людям вокруг было понятно и комфортно.","[{""value"": 0, ""label"": ""Совсем не про меня""}, {""value"": 25, ""label"": ""Скорее нет""}, {""value"": 50, ""label"": ""Не уверен""}, {""value"": 75, ""label"": ""Скорее да""}, {""value"": 100, ""label"": ""Точно про меня""}]",social,helping|verbal,"{""social"":1.0,""helping"":0.8,""verbal"":0.4}",,easy,true,170,active,social_helping_signal,express_v2,baseline,,true,
exp_behavior_01,express_v1,behavioral_situations,team_behind,situational,Ваша команда отстаёт по срокам. Твоё первое действие:,"[{""key"": ""a"", ""label"": ""Распределю задачи и назначу ответственных"", ""weights_by_dimension"": {""leadership"": 1.0, ""structured"": 0.8}}, {""key"": ""b"", ""label"": ""Разберусь, где узкое место"", ""weights_by_dimension"": {""analytical"": 0.9, ""detail"": 0.6}}, {""key"": ""c"", ""label"": ""Поддержу тех, кто перегружен"", ""weights_by_dimension"": {""helping"": 0.9, ""social"": 0.7}}]",leadership,structured|helping|social,"{""leadership"":1.0,""structured"":0.6,""helping"":0.5,""social"":0.4}",,medium,true,180,active,behavior_signal,express_v2,baseline,,true,
exp_behavior_04,express_v1,behavioral_situations,classmate_stressed,situational,Одноклассник нервничает перед экзаменом и не справляется. Ты:,"[{""key"": ""a"", ""label"": ""Спокойно объясню тему по шагам"", ""weights_by_dimension"": {""social"": 1.0, ""helping"": 0.8, ""verbal"": 0.5}}, {""key"": ""b"", ""label"": ""Дам свои конспекты — пусть сам разберётся"", ""weights_by_dimension"": {""practical"": 0.5}}, {""key"": ""c"", ""label"": ""Подбодрю и предложу вместе порешать"", ""weights_by_dimension"": {""social"": 0.9, ""helping"": 0.6}}]",social,helping|verbal,"{""social"":1.0,""helping"":0.7,""verbal"":0.4}",,medium,true,190,active,social_signal,express_v2,baseline,,true,
exp_behavior_05,express_v1,behavioral_situations,risk_vs_safe,forced_choice,"Проверенный способ даёт средний результат, а новый рискованный — может дать высокий. Что выберешь?","[{""key"": ""a"", ""label"": ""Останусь на проверенном"", ""weights_by_dimension"": {""structured"": 0.9, ""detail"": 0.4}}, {""key"": ""b"", ""label"": ""Попробую новый, но с подстраховкой"", ""weights_by_dimension"": {""exploratory"": 1.0, ""creative"": 0.5}}]",exploratory,creative|structured,"{""exploratory"":1.0,""creative"":0.5,""structured"":0.6}",,medium,true,200,active,tradeoff_signal,express_v2,baseline,,true,
exp_behavior_06,express_v1,behavioral_situations,tech_error,situational,Во время проекта что-то сломалось в технике. Что делаешь первым?,"[{""key"": ""a"", ""label"": ""Проверю, что именно пошло не так"", ""weights_by_dimension"": {""technical"": 1.0, ""analytical"": 0.7}}, {""key"": ""b"", ""label"": ""Перезапущу и попробую снова"", ""weights_by_dimension"": {""practical"": 0.7, ""structured"": 0.3}}, {""key"": ""c"", ""label"": ""Позову на помощь — вместе разберёмся"", ""weights_by_dimension"": {""social"": 0.6, ""helping"": 0.3}}]",technical,analytical|practical,"{""technical"":1.0,""analytical"":0.6,""practical"":0.4}",,medium,true,210,active,behavior_signal,express_v2,baseline,,true,
exp_task_01,express_v1,mini_cognitive_tasks,number_sequence,mini_task,"Что идёт дальше: 2, 4, 8, 16, ?","[{""key"": ""a"", ""label"": ""18""}, {""key"": ""b"", ""label"": ""24""}, {""key"": ""c"", ""label"": ""32""}, {""key"": ""d"", ""label"": ""34""}]",quantitative,analytical,"{""quantitative"":1.0,""analytical"":0.7}",,easy,true,220,active,calibration_signal,express_v2 correct=c,baseline,,true,
exp_task_03,express_v1,mini_cognitive_tasks,verbal_reasoning,mini_task,"Выбери самое точное продолжение: «Аргумент убедителен, если ...»","[{""key"": ""a"", ""label"": ""его поддерживают факты""}, {""key"": ""b"", ""label"": ""он звучит уверенно""}, {""key"": ""c"", ""label"": ""его сказал авторитет""}, {""key"": ""d"", ""label"": ""он длинный""}]",verbal,analytical,"{""verbal"":1.0,""analytical"":0.5}",,medium,true,230,active,verbal_reasoning_signal,express_v2 correct=a,baseline,,true,
exp_task_05,express_v1,mini_cognitive_tasks,table_check,mini_task,В таблице 12 строк. В трёх строках данные не совпадают с форматом. С чего начнёшь проверку?,"[{""key"": ""a"", ""label"": ""Проверю правила валидации для всей таблицы""}, {""key"": ""b"", ""label"": ""Посмотрю случайную строку""}, {""key"": ""c"", ""label"": ""Проверю только последнюю строку""}, {""key"": ""d"", ""label"": ""Посмотрю на цвета ячеек""}]",detail,structured|practical,"{""detail"":1.0,""structured"":0.6,""practical"":0.4}",,medium,true,240,active,calibration_signal,express_v2 correct=a,baseline,,true,
FT_INT_01,deep_v1,deep_interests,b1,situational,На новом предмете дали сложную тему без примеров. С чего начнешь?,"[{""key"": ""a"", ""label"": ""Разложу тему на шаги."", ""weights_by_dimension"": {""helping"": 1.0, ""verbal"": 0.5}}, {""key"": ""b"", ""label"": ""Сразу решу пару задач."", ""weights_by_dimension"": {""verbal"": 0.9, ""creative"": 0.5}}, {""key"": ""c"", ""label"": ""Обсужу варианты с другими."", ""weights_by_dimension"": {""creative"": 0.9, ""analytical"": 0.4}}, {""key"": ""d"", ""label"": ""Попробую свой нестандартный путь."", ""weights_by_dimension"": {""analytical"": 0.8, ""practical"": 0.4}}]",helping,verbal|creative|analytical|practical,"{""helping"": 1.0, ""verbal"": 0.6, ""creative"": 0.45, ""analytical"": 0.35, ""practical"": 0.25}",,medium,true,1000,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_02,deep_v1,deep_interests,b1,single_select,"Когда проект только стартует, что тебе интереснее взять на себя?","[{""key"": ""a"", ""label"": ""Собрать первый рабочий вариант, чтобы быстрее увидеть результат."", ""weights_by_dimension"": {""practical"": 1.0, ""technical"": 0.5}}, {""key"": ""b"", ""label"": ""Разобраться в логике инструмента и ограничениях решения."", ""weights_by_dimension"": {""technical"": 0.9, ""creative"": 0.5}}, {""key"": ""c"", ""label"": ""Вычистить качество исполнения и убрать недочеты."", ""weights_by_dimension"": {""creative"": 0.9, ""social"": 0.4}}, {""key"": ""d"", ""label"": ""Подготовить понятное объяснение идеи для команды."", ""weights_by_dimension"": {""social"": 0.8, ""structured"": 0.4}}]",practical,technical|creative|social,"{""practical"": 1.0, ""technical"": 0.6, ""creative"": 0.45, ""social"": 0.35}",,easy,true,1010,active,deep_core_signal,draft_v1 source=single_select_4 block=B1,baseline,,true,
FT_INT_03,deep_v1,deep_interests,b1,situational,Друг не понял тему перед контрольной. Ты:,"[{""key"": ""a"", ""label"": ""Объясню по шагам."", ""weights_by_dimension"": {""analytical"": 1.0, ""structured"": 0.5}}, {""key"": ""b"", ""label"": ""Скину материалы и план."", ""weights_by_dimension"": {""structured"": 0.9, ""social"": 0.5}}, {""key"": ""c"", ""label"": ""Решим вместе пару примеров."", ""weights_by_dimension"": {""social"": 0.9, ""practical"": 0.4}}, {""key"": ""d"", ""label"": ""Дам короткий шпаргалочный вариант."", ""weights_by_dimension"": {""practical"": 0.8, ""structured"": 0.4}}]",analytical,structured|social|practical,"{""analytical"": 1.0, ""structured"": 0.6, ""social"": 0.45, ""practical"": 0.35}",,medium,true,1020,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_04,deep_v1,deep_interests,b1,situational,Какой тип задач тебе ближе?,"[{""key"": ""a"", ""label"": ""Придумать идею и формат."", ""weights_by_dimension"": {""detail"": 1.0, ""structured"": 0.5}}, {""key"": ""b"", ""label"": ""Проверить гипотезу."", ""weights_by_dimension"": {""structured"": 0.5}}, {""key"": ""c"", ""label"": ""Настроить стабильный процесс."", ""weights_by_dimension"": {""structured"": 0.9, ""analytical"": 0.4}}, {""key"": ""d"", ""label"": ""Собрать людей и роли."", ""weights_by_dimension"": {""analytical"": 0.8, ""social"": 0.4}}]",detail,structured,"{""detail"": 1.0, ""structured"": 0.6}",,medium,true,1030,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_05,deep_v1,deep_interests,b1,single_select,"Мне легче, когда у задачи есть понятные шаги.","[{""key"": ""a"", ""label"": ""Вообще не похоже"", ""weights_by_dimension"": {""structured"": 1.0, ""creative"": 0.5}}, {""key"": ""b"", ""label"": ""Скорее не похоже"", ""weights_by_dimension"": {""creative"": 0.9, ""practical"": 0.5}}, {""key"": ""c"", ""label"": ""И да, и нет"", ""weights_by_dimension"": {""practical"": 0.9, ""helping"": 0.4}}, {""key"": ""d"", ""label"": ""Скорее похоже"", ""weights_by_dimension"": {""helping"": 0.8, ""analytical"": 0.4}}]",structured,creative|practical|helping,"{""structured"": 1.0, ""creative"": 0.6, ""practical"": 0.45, ""helping"": 0.35}",,easy,true,1040,active,deep_core_signal,draft_v1 source=single_select_4 block=B1,baseline,,true,
FT_INT_06,deep_v1,deep_interests,b1,situational,В команде никто не берет ответственность. Ты:,"[{""key"": ""a"", ""label"": ""Возьму координацию."", ""weights_by_dimension"": {""leadership"": 1.0, ""analytical"": 0.5}}, {""key"": ""b"", ""label"": ""Предложу критерии выбора."", ""weights_by_dimension"": {""analytical"": 0.9, ""helping"": 0.5}}, {""key"": ""c"", ""label"": ""Сфокусируюсь на своей части."", ""weights_by_dimension"": {""helping"": 0.9, ""practical"": 0.4}}, {""key"": ""d"", ""label"": ""Поддержу команду, чтобы снять напряжение."", ""weights_by_dimension"": {""practical"": 0.8, ""structured"": 0.4}}]",leadership,analytical|helping|practical,"{""leadership"": 1.0, ""analytical"": 0.6, ""helping"": 0.45, ""practical"": 0.35}",,medium,true,1050,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_07,deep_v1,deep_interests,b1,single_select,Где ты обычно увереннее?,"[{""key"": ""a"", ""label"": ""Расчеты и графики."", ""weights_by_dimension"": {""detail"": 1.0, ""practical"": 0.5}}, {""key"": ""b"", ""label"": ""Тексты и аргументы."", ""weights_by_dimension"": {""practical"": 0.9, ""exploratory"": 0.5}}, {""key"": ""c"", ""label"": ""Практические задачи руками."", ""weights_by_dimension"": {""exploratory"": 0.9, ""social"": 0.4}}, {""key"": ""d"", ""label"": ""Командные обсуждения."", ""weights_by_dimension"": {""social"": 0.8, ""structured"": 0.4}}]",detail,practical|exploratory|social,"{""detail"": 1.0, ""practical"": 0.6, ""exploratory"": 0.45, ""social"": 0.35}",,easy,true,1060,active,deep_core_signal,draft_v1 source=single_select_4 block=B1,baseline,,true,
FT_INT_08,deep_v1,deep_interests,b1,likert,Меня привлекают темы без готового ответа.,"[{""value"": 0, ""label"": ""Совсем не мое""}, {""value"": 25, ""label"": ""Редко так бывает""}, {""value"": 50, ""label"": ""Иногда""}, {""value"": 75, ""label"": ""Часто""}, {""value"": 100, ""label"": ""Это точно про меня""}]",quantitative,analytical,"{""quantitative"": 1.0, ""analytical"": 0.6}",,easy,true,1070,active,deep_core_signal,draft_v1 source=likert_5 block=B1,baseline,,true,
FT_INT_09,deep_v1,deep_interests,b1,situational,Перед сдачей заметил(а) мелкую ошибку. Ты:,"[{""key"": ""a"", ""label"": ""Исправлю, даже если задержусь."", ""weights_by_dimension"": {""verbal"": 1.0, ""structured"": 0.5}}, {""key"": ""b"", ""label"": ""Сдам и поправлю позже."", ""weights_by_dimension"": {""structured"": 0.9, ""creative"": 0.5}}, {""key"": ""c"", ""label"": ""Уточню, критично ли это."", ""weights_by_dimension"": {""creative"": 0.9, ""technical"": 0.4}}, {""key"": ""d"", ""label"": ""Проверю, есть ли похожие ошибки."", ""weights_by_dimension"": {""technical"": 0.8, ""structured"": 0.4}}]",verbal,structured|creative|technical,"{""verbal"": 1.0, ""structured"": 0.6, ""creative"": 0.45, ""technical"": 0.35}",,medium,true,1080,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_10,deep_v1,deep_interests,b1,situational,Что тебе приятнее делать дольше?,"[{""key"": ""a"", ""label"": ""Разбираться в инструментах."", ""weights_by_dimension"": {""exploratory"": 1.0, ""practical"": 0.5}}, {""key"": ""b"", ""label"": ""Объяснять сложное простыми словами."", ""weights_by_dimension"": {""practical"": 0.9, ""helping"": 0.5}}, {""key"": ""c"", ""label"": ""Планировать этапы и сроки."", ""weights_by_dimension"": {""helping"": 0.9, ""social"": 0.4}}, {""key"": ""d"", ""label"": ""Искать необычные решения."", ""weights_by_dimension"": {""social"": 0.8, ""structured"": 0.4}}]",exploratory,practical|helping|social,"{""exploratory"": 1.0, ""practical"": 0.6, ""helping"": 0.45, ""social"": 0.35}",,medium,true,1090,active,deep_core_signal,draft_v1 source=situational_single block=B1,baseline,,true,
FT_INT_11,deep_v1,deep_interests,b1,multi_select,"Выбери 2 формата, в которых ты полезнее всего для команды.","[{""key"": ""a"", ""label"": ""Быстро собрать рабочий черновик и запустить тест."", ""weights_by_dimension"": {""practical"": 1.0, ""verbal"": 0.6}}, {""key"": ""b"", ""label"": ""Поддержать участника, который застрял, и объяснить шаги."", ""weights_by_dimension"": {""verbal"": 0.9, ""helping"": 0.5}}, {""key"": ""c"", ""label"": ""Разобрать причины сбоя и предложить исправление."", ""weights_by_dimension"": {""helping"": 0.9, ""analytical"": 0.5}}, {""key"": ""d"", ""label"": ""Сравнить варианты и выбрать самый сильный по критериям."", ""weights_by_dimension"": {""analytical"": 0.8, ""creative"": 0.4}}]",practical,verbal|helping|analytical|creative,"{""practical"": 1.0, ""verbal"": 0.6, ""helping"": 0.45, ""analytical"": 0.35, ""creative"": 0.25}",,medium,true,1100,active,deep_core_signal,draft_v1 source=multi_select_2 block=B1,baseline,,true,
FT_INT_12,deep_v1,deep_interests,b1,likert,В условиях неопределенности мне естественнее держать структуру и не терять точность.,"[{""value"": 0, ""label"": ""Совсем не про меня""}, {""value"": 25, ""label"": ""Скорее не про меня""}, {""value"": 50, ""label"": ""Иногда так""}, {""value"": 75, ""label"": ""Чаще так""}, {""value"": 100, ""label"": ""Почти всегда так""}]",structured,detail,"{""structured"": 1.0, ""detail"": 0.6}",,easy,true,1110,active,deep_core_signal,draft_v1 source=likert_5 block=B1,baseline,,true,
FT_SJT_01,deep_v1,behavioral_situations,b2,situational,В группе спор о подготовке к экзамену. Ты:,"[{""key"": ""a"", ""label"": ""Подберу подход под каждого."", ""weights_by_dimension"": {""helping"": 1.0, ""verbal"": 0.5}}, {""key"": ""b"", ""label"": ""Продвину один общий план."", ""weights_by_dimension"": {""verbal"": 0.9, ""structured"": 0.5}}, {""key"": ""c"", ""label"": ""Предложу проверить 2 варианта."", ""weights_by_dimension"": {""structured"": 0.9, ""practical"": 0.4}}, {""key"": ""d"", ""label"": ""Сделаю чек-лист задач."", ""weights_by_dimension"": {""practical"": 0.8, ""structured"": 0.4}}]",helping,verbal|structured|practical,"{""helping"": 1.0, ""verbal"": 0.6, ""structured"": 0.45, ""practical"": 0.35}",,medium,true,1120,active,deep_core_signal,draft_v1 source=situational_single block=B2,baseline,,true,
FT_SJT_02,deep_v1,behavioral_situations,b2,situational,Результаты пробника сильно разнятся. Ты сначала:,"[{""key"": ""a"", ""label"": ""Разберу ошибки по типам."", ""weights_by_dimension"": {""analytical"": 1.0, ""detail"": 0.5}}, {""key"": ""b"", ""label"": ""Проведу общий разбор."", ""weights_by_dimension"": {""detail"": 0.9, ""structured"": 0.5}}, {""key"": ""c"", ""label"": ""Дам практику на время."", ""weights_by_dimension"": {""structured"": 0.9, ""verbal"": 0.4}}, {""key"": ""d"", ""label"": ""Поддержу и замотивирую."", ""weights_by_dimension"": {""verbal"": 0.8, ""structured"": 0.4}}]",analytical,detail|structured|verbal,"{""analytical"": 1.0, ""detail"": 0.6, ""structured"": 0.45, ""verbal"": 0.35}",,medium,true,1130,active,deep_core_signal,draft_v1 source=situational_single block=B2,baseline,,true,
FT_SJT_03,deep_v1,behavioral_situations,b2,situational,На проекте мало времени. Ты:,"[{""key"": ""a"", ""label"": ""Соберу минимально рабочую версию."", ""weights_by_dimension"": {""structured"": 1.0, ""analytical"": 0.5}}, {""key"": ""b"", ""label"": ""Сначала продумаю архитектуру."", ""weights_by_dimension"": {""analytical"": 0.9, ""exploratory"": 0.5}}, {""key"": ""c"", ""label"": ""Подготовлю сильную подачу."", ""weights_by_dimension"": {""exploratory"": 0.9, ""practical"": 0.4}}, {""key"": ""d"", ""label"": ""Разведу роли по команде."", ""weights_by_dimension"": {""practical"": 0.8, ""analytical"": 0.4}}]",structured,analytical|exploratory|practical,"{""structured"": 1.0, ""analytical"": 0.6, ""exploratory"": 0.45, ""practical"": 0.35}",,medium,true,1140,active,deep_core_signal,draft_v1 source=situational_single block=B2,baseline,,true,
