id,cluster,slug,title_ru,summary_ru
32,"Бизнес, управление, продажи",project-manager,Project Manager,Планирует и ведёт проекты до результата.
33,"Бизнес, управление, продажи",operations-manager,Операционный менеджер,Отвечает за стабильность процессов и операционную эффективность.
34,"Бизнес, управление, продажи",entrepreneur,Предприниматель,Запускает и развивает собственный бизнес или проект.
35,"Бизнес, управление, продажи",sales-manager,Менеджер по продажам,Помогает находить клиентов и заключать сделки.
36,"Бизнес, управление, продажи",b2b-sales-manager,B2B Sales Manager,Развивает продажи между компаниями и корпоративными клиентами.
37,"Бизнес, управление, продажи",account-manager,Аккаунт-менеджер,Сопровождает клиентов и развивает с ними отношения.
38,"Бизнес, управление, продажи",customer-success-manager,Customer Success Manager,Помогает клиентам получать результат от продукта.
39,"Бизнес, управление, продажи",business-development-manager,Бизнес-девелопмент менеджер,Находит новые направления роста и партнёрства.
40,"Бизнес, управление, продажи",team-lead,Руководитель команды / Team Lead,Организует работу команды и отвечает за результат.
41,"Финансы, аналитика, право",financial-analyst,Финансовый аналитик,Оценивает финансовые показатели и помогает принимать решения.
42,"Финансы, аналитика, право",economist,Экономист,Анализирует экономические процессы и финансовые сценарии.
43,"Финансы, аналитика, право",accountant,Бухгалтер,Ведёт финансовый учёт и отчётность организации.
44,"Финансы, аналитика, право",auditor,Аудитор,Проверяет корректность финансового учёта и процессов.
45,"Финансы, аналитика, право",financial-control-specialist,Специалист по финансовому контролю,Следит за корректностью финансовых операций и соблюдением правил.
46,"Финансы, аналитика, право",investment-analyst,Инвестиционный аналитик,"Оценивает активы, проекты и инвестиционные возможности."
47,"Финансы, аналитика, право",lawyer,Юрист,Помогает решать правовые вопросы и защищать интересы сторон.
48,"Финансы, аналитика, право",legal-counsel,Юрисконсульт,Сопровождает компанию или клиентов по юридическим вопросам.
49,"Финансы, аналитика, право",compliance-specialist,Комплаенс-специалист,"Следит за соблюдением правил, норм и регуляторных требований."
50,"Финансы, аналитика, право",legal-documentation-specialist,Документационный / правовой специалист,Работает с юридическими документами и деловым документооборотом.
51,"Образование, психология, помощь людям",teacher,Учитель,Обучает школьников и помогает им осваивать предмет.
52,"Образование, психология, помощь людям",language-teacher,Преподаватель иностранных языков,Обучает языку и помогает развивать коммуникационные навыки.
53,"Образование, психология, помощь людям",tutor,Репетитор,Помогает ученикам подтянуть предметы и подготовиться к экзаменам.
54,"Образование, психология, помощь людям",methodologist,Методист,Разрабатывает учебные программы и методические материалы.
55,"Образование, психология, помощь людям",educational-coordinator,Педагог-организатор,Организует школьные и образовательные активности.
56,"Образование, психология, помощь людям",psychologist,Психолог,Помогает людям лучше понимать себя и справляться с трудностями.
57,"Образование, психология, помощь людям",school-psychologist,Школьный психолог,"Поддерживает учеников, родителей и школу по вопросам развития и адаптации."
58,"Образование, психология, помощь людям",career-counselor,Карьерный консультант,Помогает человеку понять сильные стороны и выбрать направление.
59,"Образование, психология, помощь людям",social-worker,Социальный работник,Поддерживает людей и семьи в сложных жизненных ситуациях.
60,"Образование, психология, помощь людям",hr-specialist,HR-специалист,"Подбирает, развивает и поддерживает сотрудников в компании."
61,"Медицина, здоровье, бионауки",general-practitioner,Врач общей практики,Диагностирует и лечит распространённые заболевания.
62,"Медицина, здоровье, бионауки",pediatrician,Педиатр,Следит за здоровьем детей и помогает в лечении и профилактике.
63,"Медицина, здоровье, бионауки",nurse,Медсестра / медбрат,"Поддерживает лечение, уход и взаимодействие с пациентами."
64,"Медицина, здоровье, бионауки",pharmacist,Фармацевт,Работает с лекарствами и консультирует по их применению.
65,"Медицина, здоровье, бионауки",lab-technician,Лаборант,Проводит анализы и лабораторные исследования.
66,"Медицина, здоровье, бионауки",nutrition-specialist,Диетолог / нутрициолог,Помогает выстраивать питание и здоровые привычки.
67,"Медицина, здоровье, бионауки",physiotherapist,Физиотерапевт,Помогает восстанавливаться после травм и заболеваний.
68,"Медицина, здоровье, бионауки",veterinarian,Ветеринар,Лечит животных и помогает поддерживать их здоровье.
69,"Медицина, здоровье, бионауки",biomedical-specialist,Биомедицинский специалист,"Работает на стыке биологии, медицины и технологий."
70,"Медицина, здоровье, бионауки",medical-administrator,Медицинский администратор,Организует работу клиники или медицинского сервиса.
71,"Инженерия, производство, строительство",mechanical-engineer,Инженер-механик,Проектирует и улучшает механические системы и устройства.
72,"Инженерия, производство, строительство",electrical-engineer,Инженер-электрик,"Работает с электрическими системами, оборудованием и энергоснабжением."
73,"Инженерия, производство, строительство",civil-engineer,Инженер-строитель,Проектирует и сопровождает строительство объектов.
74,"Инженерия, производство, строительство",architect,Архитектор,Проектирует здания и пространственные решения.
75,"Инженерия, производство, строительство",design-engineer,Проектировщик,Создаёт технические проекты и документацию.
76,"Инженерия, производство, строительство",production-technologist,Технолог производства,Разрабатывает и оптимизирует производственные процессы.
77,"Инженерия, производство, строительство",quality-engineer,Инженер по качеству,Следит за стандартами качества продукции и процессов.
78,"Инженерия, производство, строительство",operations-engineer,Инженер по эксплуатации,Обеспечивает стабильную и безопасную работу оборудования и систем.
79,"Инженерия, производство, строительство",automation-specialist,Специалист по автоматизации,Внедряет решения для автоматизации процессов и оборудования.
80,"Инженерия, производство, строительство",robotics-specialist,Специалист по робототехнике,Работает с роботизированными системами и автоматизированными устройствами.
81,"Наука, исследования, экология",researcher,Исследователь,"Изучает новые темы, явления и формирует выводы на основе данных."
82,"Наука, исследования, экология",scientific-researcher,Научный сотрудник,Проводит исследования в научных проектах и лабораториях.
83,"Наука, исследования, экология",sociologist,Социолог,"Изучает общество, поведение людей и социальные процессы."
84,"Наука, исследования, экология",political-scientist,Политолог,"Анализирует политические процессы, институты и общественные изменения."
85,"Наука, исследования, экология",historian,Историк,Исследует прошлое и помогает понимать развитие обществ и событий.
86,"Наука, исследования, экология",geo-analyst,Географ / геоаналитик,"Изучает территории, карты, пространственные данные и геопроцессы."
87,"Наука, исследования, экология",biologist,Биолог,Изучает живые организмы и природные процессы.
88,"Наука, исследования, экология",chemist,Химик,"Исследует вещества, реакции и химические процессы."
89,"Наука, исследования, экология",ecologist,Эколог,Изучает состояние окружающей среды и ищет решения для её защиты.
90,"Наука, исследования, экология",research-analyst,Рыночный исследователь / Research Analyst,"Изучает рынок, потребителей и конкурентную среду."
91,"Логистика, операции, сервис, гос/соцсфера",logistician,Логист,"Организует перемещение товаров, материалов и поставок."
92,"Логистика, операции, сервис, гос/соцсфера",supply-chain-specialist,Supply Chain Specialist,Управляет цепочками поставок и взаимодействием между участниками процесса.
93,"Логистика, операции, сервис, гос/соцсфера",procurement-specialist,Закупщик / procurement specialist,Планирует и ведёт закупки товаров и услуг.
94,"Логистика, операции, сервис, гос/соцсфера",customer-service-specialist,Специалист по клиентскому сервису,Помогает клиентам и обеспечивает качество сервиса.
95,"Логистика, операции, сервис, гос/соцсфера",event-manager,Event-менеджер,"Организует мероприятия, события и деловые/общественные активности."
96,"Логистика, операции, сервис, гос/соцсфера",civil-servant,Государственный служащий,Работает в государственных структурах и реализует публичные функции.
97,"Логистика, операции, сервис, гос/соцсфера",international-relations-specialist,Специалист по международным отношениям,"Работает с международными проектами, коммуникацией и сотрудничеством."
98,"Логистика, операции, сервис, гос/соцсфера",document-management-specialist,Специалист по документообороту,Организует работу с документами и деловыми процессами.
99,"Логистика, операции, сервис, гос/соцсфера",occupational-safety-specialist,Специалист по охране труда и безопасности,Следит за безопасностью труда и соблюдением норм.
100,"Логистика, операции, сервис, гос/соцсфера",operations-administrator,Администратор проектов / операций,"Поддерживает организацию процессов, задач и операционной работы."
101,"Логистика, операции, сервис, гос/соцсфера",civil-aviation-pilot,Пилот гражданской авиации,Управляет пассажирскими и грузовыми воздушными судами на регулярных и чартерных рейсах.
102,"Логистика, операции, сервис, гос/соцсфера",flight-attendant,Бортпроводник,Обеспечивает безопасность и комфорт пассажиров во время полета.
103,"Инженерия, производство, строительство",aviation-engineer,Авиационный инженер,Проектирует и совершенствует авиационные системы и оборудование.
104,"Инженерия, производство, строительство",aviation-mechanic,Авиационный механик,Обслуживает и ремонтирует авиационную технику перед и после полетов.
105,"Логистика, операции, сервис, гос/соцсфера",ground-service-specialist,Специалист наземного обслуживания,Координирует обслуживание самолета и подготовку к вылету в аэропорту.
106,"Логистика, операции, сервис, гос/соцсфера",aviation-security-specialist,Специалист по авиационной безопасности,Контролирует соблюдение правил безопасности в аэропорту и на борту.
107,"Логистика, операции, сервис, гос/соцсфера",air-traffic-controller,Диспетчер воздушного движения,Координирует движение воздушных судов для безопасных взлетов и посадок.
108,"Логистика, операции, сервис, гос/соцсфера",train-driver,Машинист поезда,Управляет поездом и отвечает за безопасное ведение состава по маршруту.
109,"Логистика, операции, сервис, гос/соцсфера",assistant-train-driver,Помощник машиниста,Помогает машинисту контролировать оборудование и безопасность движения.
110,"Логистика, операции, сервис, гос/соцсфера",station-duty-officer,Дежурный по станции,Организует работу станции и координирует прием и отправление поездов.
111,"Логистика, операции, сервис, гос/соцсфера",railway-train-dispatcher,Поездной диспетчер,Управляет графиком движения поездов и координирует работу участков пути.
112,"Инженерия, производство, строительство",railway-infrastructure-engineer,Инженер железнодорожной инфраструктуры,Проектирует и развивает железнодорожные пути и инфраструктурные объекты.
113,"Инженерия, производство, строительство",rolling-stock-repair-specialist,Специалист по ремонту подвижного состава,Обслуживает и ремонтирует вагоны и локомотивы для надежной работы.
114,"Логистика, операции, сервис, гос/соцсфера",rail-freight-logistician,Логист железнодорожных перевозок,Планирует и оптимизирует перевозки грузов по железной дороге.
115,"Логистика, операции, сервис, гос/соцсфера",rail-traffic-safety-specialist,Специалист по безопасности движения,Следит за соблюдением норм безопасности на железнодорожном транспорте.
116,"Инженерия, производство, строительство",oil-gas-engineer,Нефтегазовый инженер,Разрабатывает и сопровождает технологические процессы добычи и переработки углеводородов.
117,"Инженерия, производство, строительство",drilling-engineer,Инженер по бурению,Планирует и контролирует буровые работы на месторождениях.
118,"Инженерия, производство, строительство",geophysicist,Геофизик,Исследует строение недр и помогает находить перспективные месторождения.
119,"Инженерия, производство, строительство",oil-gas-production-operator,Оператор добычи нефти и газа,Управляет оборудованием на объектах добычи нефти и газа.
120,"Инженерия, производство, строительство",field-operations-engineer,Инженер по эксплуатации месторождений,Обеспечивает стабильную и безопасную работу объектов месторождения.
121,"Инженерия, производство, строительство",oil-gas-processing-engineer,Инженер по переработке нефти и газа,Оптимизирует процессы переработки сырья на производственных установках.
122,"Инженерия, производство, строительство",process-plant-operator,Оператор технологических установок,Ведет технологический процесс на промышленной установке по регламенту.
123,"Инженерия, производство, строительство",industrial-safety-specialist,Специалист по промышленной безопасности,Контролирует промышленную безопасность и предотвращение аварий на производстве.
124,"Инженерия, производство, строительство",food-production-technologist,Технолог пищевого производства,Разрабатывает и контролирует технологию изготовления пищевой продукции.
125,"Инженерия, производство, строительство",food-process-engineer,Инженер-технолог пищевой промышленности,Оптимизирует производственные линии и режимы пищевого производства.
126,"Инженерия, производство, строительство",food-quality-control-specialist,Специалист по контролю качества пищевой продукции,Проверяет качество сырья и готовой продукции на соответствие стандартам.
127,"Инженерия, производство, строительство",food-laboratory-technician,Лаборант пищевого производства,Проводит лабораторные анализы сырья и продукции на пищевом предприятии.
128,"Инженерия, производство, строительство",food-safety-specialist,Специалист по пищевой безопасности,Следит за соблюдением санитарных норм и безопасностью продукции.
129,"Инженерия, производство, строительство",production-line-operator,Оператор производственной линии,Управляет оборудованием на линии и контролирует выпуск продукции.
130,"Инженерия, производство, строительство",packaging-engineer,Инженер по упаковке,Разрабатывает решения по упаковке для сохранности и логистики продукции.
131,"Инженерия, производство, строительство",automotive-design-engineer,Инженер-конструктор автомобилей,Проектирует узлы и системы автомобиля с учетом надежности и требований безопасности.
132,"Инженерия, производство, строительство",automotive-process-engineer,Инженер-технолог автопроизводства,Настраивает и улучшает технологические процессы на автомобильном производстве.
133,"Инженерия, производство, строительство",automotive-assembly-specialist,Специалист по сборке автомобилей,Выполняет сборку узлов и финальную комплектацию автомобилей на конвейере.
134,"Инженерия, производство, строительство",automotive-quality-engineer,Инженер по качеству в автопроме,Контролирует качество деталей и сборки на всех этапах производства.
135,"Инженерия, производство, строительство",auto-electrician,Автоэлектрик,Диагностирует и ремонтирует электрические системы автомобиля.
136,"Инженерия, производство, строительство",automotive-diagnostic-specialist,Автодиагност,Выявляет неисправности автомобиля с помощью диагностического оборудования.
137,"Инженерия, производство, строительство",car-repair-mechanic,Механик по ремонту автомобилей,Проводит техническое обслуживание и ремонт автомобилей.
138,"Инженерия, производство, строительство",automotive-service-specialist,Специалист по сервисному обслуживанию,Организует и выполняет сервисное обслуживание автомобилей для клиентов.
139,"Инженерия, производство, строительство",mining-engineer,Горный инженер,Проектирует и организует безопасную и эффективную добычу полезных ископаемых.
140,"Инженерия, производство, строительство",mine-operations-engineer,Инженер по горным работам,Планирует и координирует выполнение горных работ на предприятии.
141,"Инженерия, производство, строительство",mine-surveyor,Маркшейдер,Проводит измерения и контроль горных выработок для безопасного ведения работ.
142,"Инженерия, производство, строительство",mining-drilling-engineer,Буровой инженер,Организует и контролирует буровые процессы в горнодобывающих проектах.
143,"Инженерия, производство, строительство",mining-equipment-operator,Оператор горной техники,Управляет горной техникой при добыче и транспортировке породы.
144,"Инженерия, производство, строительство",exploration-geologist,Геолог разведки месторождений,Изучает геологические данные и оценивает перспективность месторождений.
145,"Инженерия, производство, строительство",mine-safety-specialist,Специалист по безопасности горных работ,Обеспечивает соблюдение требований безопасности на горных объектах.
146,"Инженерия, производство, строительство",mining-production-technologist,Технолог горнодобывающего производства,Оптимизирует технологические процессы добычи и переработки сырья.
147,"Наука, исследования, экология",ecologist-general,Эколог,Оценивает влияние деятельности на окружающую среду и предлагает меры по снижению рисков.
148,"Наука, исследования, экология",environmental-engineer,Инженер-эколог,Разрабатывает инженерные решения для снижения воздействия на окружающую среду.
149,"Наука, исследования, экология",environmental-monitoring-specialist,Специалист по экологическому мониторингу,Проводит мониторинг воздуха воды и почвы и анализирует экологические показатели.
150,"Наука, исследования, экология",environmental-protection-specialist,Специалист по охране окружающей среды,Внедряет и контролирует природоохранные мероприятия на предприятиях и территориях.
151,"Наука, исследования, экология",industrial-ecologist,Эколог промышленного предприятия,Сопровождает экологическую работу на производстве и соблюдение требований.
152,"Наука, исследования, экология",waste-management-specialist,Специалист по обращению с отходами,Организует безопасное обращение с отходами и их переработку.
153,"Наука, исследования, экология",environmental-analyst,Эколог-аналитик,Анализирует экологические данные и готовит выводы для решений и отчетности.
154,"Наука, исследования, экология",sustainability-specialist,Специалист по устойчивому развитию,Помогает организациям внедрять практики устойчивого развития и экологической ответственности.
